Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
SWPA.GOV,Federal - Executive,Department of Energy,Southwestern Power Administration,Tulsa,OK,CyberSecurityTeam@swpa.gov
UNNPP.GOV,Federal - Executive,Department of Energy,"Bechtel Bettis, Inc.",West Mifflin,PA,SecurityOperationsCenter@unnpp.gov
UNRPNET.GOV,Federal - Executive,Department of Energy,Office of Naval Reactors,Washington,DC,CorporateCommunications@unnpp.onmicrosoft.com
WAPA.GOV,Federal - Executive,Department of Energy,Western Area Power Administration,Lakewood,CO,ITNetwork@wapa.gov
YMP.GOV,Federal - Executive,Department of Energy,Office of Legacy Management,Las Vegas,NV,cybersoc@lm.doe.gov
ACF.GOV,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,responsibledisclosure@hhs.gov
ACL.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
AFTERSCHOOL.GOV,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
AGING.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
AGINGSTATS.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
AHCPR.GOV,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,MD,ResponsibleDisclosure@hhs.gov
AHRQ.GOV,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,MD,ResponsibleDisclosure@hhs.gov
AIDS.GOV,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
ALZHEIMERS.GOV,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,MD,ResponsibleDisclosure@hhs.gov
AOA.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
BAM.GOV,Federal - Executive,Department of Health and Human Services,Center for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
BETOBACCOFREE.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov
BIOETHICS.GOV,Federal - Executive,Department of Health and Human Services,"President's Council on Bioethics, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
BRAINHEALTH.GOV,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,MD,ResponsibleDisclosure@hhs.gov
CANCER.GOV,Federal - Executive,Department of Health and Human Services,National Cancer Institute,Rockville,MD,ResponsibleDisclosure@hhs.gov
CDC.GOV,Federal - Executive,Department of Health and Human Services,Centers For Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
CDCPARTNERS.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,responsibledisclosure@hhs.gov
CEREBROSANO.GOV,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
CHILDCARE.GOV,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,responsibledisclosure@hhs.gov
CHILDWELFARE.GOV,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,responsibledisclosure@hhs.gov
CLINICALTRIAL.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
CLINICALTRIALS.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
CMS.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
COLLEGEDRINKINGPREVENTION.GOV,Federal - Executive,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
CORONAVIRUS.GOV,Federal - Executive,Department of Health and Human Services,Centers For Disease Control and Prevention,Atlanta,GA,(blank)
COVIDTEST.GOV,Federal - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response Office of the Secretary,washington,DC,responsibledisclosure@hhs.gov
COVIDTESTS.GOV,Federal - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
CUIDADODESALUD.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
DHHS.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
DIABETESCOMMITTEE.GOV,Federal - Executive,Department of Health and Human Services,"National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
DOCLINE.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
DONACIONDEORGANOS.GOV,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
DRUGABUSE.GOV,Federal - Executive,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",Baltimore,MD,responsibledisclosure@hhs.gov
EDISON.GOV,Federal - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,MD,ResponsibleDisclosure@hhs.gov
ELDERCARE.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
ENDINGTHEDOCUMENTGAME.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
EVERYTRYCOUNTS.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,responsibledisclosure@hhs.gov
FATHERHOOD.GOV,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,responsibledisclosure@hhs.gov
FDA.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,responsibledisclosure@hhs.gov
FINDTREATMENT.GOV,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
FITNESS.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
FLU.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,responsibledisclosure@hhs.gov
FOODSAFETY.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
FRESHEMPIRE.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov
FRUITSANDVEGGIESMATTER.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
GENOME.GOV,Federal - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,MD,responsibledisclosure@hhs.gov
GIRLSHEALTH.GOV,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",Washington,DC,responsibledisclosure@hhs.gov
GLOBALHEALTH.GOV,Federal - Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",Rockville,MD,responsibledisclosure@hhs.gov
GRANTS.GOV,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
GRANTSOLUTIONS.GOV,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,Washington,DC,domainabuse@grantsolutions.gov
GUIDELINE.GOV,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,MD,ResponsibleDisclosure@hhs.gov
GUIDELINES.GOV,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,Rockville,MD,ResponsibleDisclosure@hhs.gov
HC.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
HEALTH.GOV,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
HEALTHCARE.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
HEALTHDATA.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
HEALTHFINDER.GOV,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
HEALTHINDICATORS.GOV,Federal - Executive,Department of Health and Human Services,Centers For Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
HEALTHIT.GOV,Federal - Executive,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
HEALTHYPEOPLE.GOV,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
HEARTTRUTH.GOV,Federal - Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
HHS.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
HHSOIG.GOV,Federal - Executive,Department of Health and Human Services,Office of the Inspector General,Washington,DC,responsibledisclosure@hhs.gov
HHSOPS.GOV,Federal - Executive,Department of Health and Human Services,"Program Support Center, Office of the Secretary",Rockville,MD,responsibledisclosure@hhs.gov
HIV.GOV,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
HRSA.GOV,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
IDEALAB.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
IEDISON.GOV,Federal - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,MD,ResponsibleDisclosure@hhs.gov
IHS.GOV,Federal - Executive,Department of Health and Human Services,Indian Health Service / Office of IT,Albuquerque,NM,responsibledisclosure@hhs.gov
INSUREKIDSNOW.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
LOCATORPLUS.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
LONGTERMCARE.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
MEDICAID.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
MEDICALBILLRIGHTS.GOV,Federal - Executive,Department of Health and Human Services,CMS,Baltimore,MD,responsibledisclosure@hhs.gov
MEDICALCOUNTERMEASURES.GOV,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
MEDICARE.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
MEDLINEPLUS.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
MENTALHEALTH.GOV,Federal - Executive,Department of Health and Human Services,SAMHSA Office of Communications,Rockville,MD,ResponsibleDisclosure@hhs.gov
MESH.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
MYMEDICARE.GOV,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,Baltimore,MD,responsibledisclosure@hhs.gov
NCIFCRF.GOV,Federal - Executive,Department of Health and Human Services,"Enterprise Information Technology, NIH",Frederick,MD,ResponsibleDisclosure@hhs.gov
NIH.GOV,Federal - Executive,Department of Health and Human Services,National Institutes of Health,Bethesda,MD,ResponsibleDisclosure@hhs.gov
NIOSH.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
NLM.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
NNLM.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
OPIOIDS.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
ORGANDONOR.GOV,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
PANDEMICFLU.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,responsibledisclosure@hhs.gov
PHE.GOV,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Preparedness and Response, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
PSC.GOV,Federal - Executive,Department of Health and Human Services,"Program Support Center, Office of the Secretary",Rockville,MD,responsibledisclosure@hhs.gov
PUBMED.GOV,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",Bethesda,MD,responsibledisclosure@hhs.gov
RECOVERYMONTH.GOV,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
SAMHSA.GOV,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
SELECTAGENTS.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
SIMPLEREPORT.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
SMOKEFREE.GOV,Federal - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",Rockville,MD,responsibledisclosure@hhs.gov
STOPALCOHOLABUSE.GOV,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,Rockville,MD,responsibledisclosure@hhs.gov
STOPBULLYING.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
SURGEONGENERAL.GOV,Federal - Executive,Department of Health and Human Services,"Office of the Surgeon General, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
THEREALCOST.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov
THISFREELIFE.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov
TOBACCO.GOV,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,Silver Spring,MD,ResponsibleDisclosure@hhs.gov
TOX21.GOV,Federal - Executive,Department of Health and Human Services,National Center for Advancing Translational Sciences,Rockville,MD,ResponsibleDisclosure@hhs.gov
USBM.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
USPHS.GOV,Federal - Executive,Department of Health and Human Services,Office of the Secretary,Washington,DC,responsibledisclosure@hhs.gov
VACCINE.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
VACCINES.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,responsibledisclosure@hhs.gov
VACINE.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
VACINES.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
VACUNA.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
VACUNAS.GOV,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,Atlanta,GA,ResponsibleDisclosure@hhs.gov
WHAGING.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
WHITEHOUSECONFERENCEONAGING.GOV,Federal - Executive,Department of Health and Human Services,Administration for Community Living,Washington,DC,responsibledisclosure@hhs.gov
WOMENSHEALTH.GOV,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",Washington,DC,responsibledisclosure@hhs.gov
YOUTH.GOV,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",Washington,DC,responsibledisclosure@hhs.gov
BIOMETRICS.GOV,Federal - Executive,Department of Homeland Security,US-VISIT,Arlington,VA,IS2OSecurity@hq.dhs.gov
CBP.GOV,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,CBPSOC@cbp.dhs.gov
CISA.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,IS2OSecurity@hq.dhs.gov
CPNIREPORTING.GOV,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,megan.mcgraw@usss.dhs.gov
CYBER.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,IS2OSecurity@hq.dhs.gov
CYBERSECURITY.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,IS2OSecurity@hq.dhs.gov
DHS.GOV,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov
DISASTERASSISTANCE.GOV,Federal - Executive,Department of Homeland Security,Federal Emergency Management Agency,Bluemont,VA,fema-soc@fema.dhs.gov
DOTGOV.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,vulnerability.disclosure.prog@hq.dhs.gov
E-VERIFY.GOV,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov
EVERIFY.GOV,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov
EVUS.GOV,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,IS2OSecurity@hq.dhs.gov
FEMA.GOV,Federal - Executive,Department of Homeland Security,FEMA,Washington,DC,fema-soc@fema.dhs.gov
FIRSTRESPONDERTRAINING.GOV,Federal - Executive,Department of Homeland Security,Office for Domestic Preparedness,Washington,DC,fema-soc@fema.dhs.gov
FLETA.GOV,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,GA,FLETCCSIRC@fletc.dhs.gov
FLETC.GOV,Federal - Executive,Department of Homeland Security,Federal Law Enforcement Training Center,Glynco,GA,FLETCCSIRC@fletc.dhs.gov
FLIGHTSCHOOLCANDIDATES.GOV,Federal - Executive,Department of Homeland Security,TSA CPO,Rockville,MD,tsa-oit-tsd-sec@tsa.dhs.gov
FLOODSMART.GOV,Federal - Executive,Department of Homeland Security,FEMA,Bluemont,VA,fema-soc@fema.dhs.gov
GLOBALENTRY.GOV,Federal - Executive,Department of Homeland Security,U.S. Customs and Border Protection,Washington,DC,CBPSOC@cbp.dhs.gov
HOMELANDSECURITY.GOV,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov
ICE.GOV,Federal - Executive,Department of Homeland Security,U.S. Immigration and Customs Enforcement,Washington,DC,IS2OSecurity@hq.dhs.gov
JUNTOS.GOV,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov
LISTO.GOV,Federal - Executive,Department of Homeland Security,Office of Public Affairs,Washington,DC,fema-soc@fema.dhs.gov
NIC.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,vulnerability.disclosure.prog@hq.dhs.gov
NIEM.GOV,Federal - Executive,Department of Homeland Security,"Department of Homeland Security, Office of the Chief Information Officer",Washington,DC,IS2OSecurity@hq.dhs.gov
NMSC.GOV,Federal - Executive,Department of Homeland Security,National Marine Center,St Augustine,FL,bertram.dobrie@cbp.dhs.gov
POWER2PREVENT.GOV,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,is2osecurity@hq.dhs.gov
READY.GOV,Federal - Executive,Department of Homeland Security,Office of Public Affairs,Washington,DC,fema-soc@fema.dhs.gov
READYBUSINESS.GOV,Federal - Executive,Department of Homeland Security,FEMA,Washington,DC,fema-soc@fema.dhs.gov
SAFETYACT.GOV,Federal - Executive,Department of Homeland Security,Science and Technology,Washington,DC,malik.locket@st.dhs.gov
SCHOOLSAFETY.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Washington,DC,is2osecurity@hq.dhs.gov
SECRETSERVICE.GOV,Federal - Executive,Department of Homeland Security,United States Secret Service   ,Washington,DC,IS2OSecurity@hq.dhs.gov
STOPRANSOMWARE.GOV,Federal - Executive,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,Arlington,VA,vulnerability.disclosure.prog@hq.dhs.gov
TOGETHER.GOV,Federal - Executive,Department of Homeland Security,Headquarters,Washington,DC,IS2OSecurity@hq.dhs.gov
TSA.GOV,Federal - Executive,Department of Homeland Security,Transportation Security Administration,Arlington,VA,GRC_Compliance@tsa.dhs.gov
US-CERT.GOV,Federal - Executive,Department of Homeland Security,US-CERT,Washington,DC,moe-cirt@us-cert.gov
USCG.GOV,Federal - Executive,Department of Homeland Security,U. S. Coast Guard C5I Service Center,Alexandria,VA,c5isc-isd-sec-bps-managers@uscg.mil
USCIS.GOV,Federal - Executive,Department of Homeland Security,USCIS,Washington,DC,jeffrey.y.oppong@uscis.dhs.gov
USSS.GOV,Federal - Executive,Department of Homeland Security,United States Secret Service,Washington,DC,megan.mcgraw@usss.dhs.gov
DISASTERHOUSING.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
FHA.GOV,Federal - Executive,Department of Housing and Urban Development,Dept. of Housing and Urban Development (HUD),Washington,DC,vdp@hud.gov
GINNIEMAE.GOV,Federal - Executive,Department of Housing and Urban Development,Government National Mortgage Association,Washington,DC,ron.e.espedido@hud.gov
HOMESALES.GOV,Federal - Executive,Department of Housing and Urban Development,U. S. Department of Housing & Urban Development,Washington,DC,vdp@hud.gov
HUD.GOV,Federal - Executive,Department of Housing and Urban Development,Web Master  Pulic Affair,Washington,DC,vdp@hud.gov
HUDHOMESTORE.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,(blank)
HUDOIG.GOV,Federal - Executive,Department of Housing and Urban Development,Office of Inspector General,Washington,DC,INFOSECFederalStaff@hudoig.gov
HUDUSER.GOV,Federal - Executive,Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, Office of Policy Development and Research",Washington,DC,support@huduser.gov
NATIONALHOUSING.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
NATIONALHOUSINGLOCATOR.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
NHL.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
NLS.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
OPPORTUNITYZONES.GOV,Federal - Executive,Department of Housing and Urban Development,Department of Housing and Urban Development,Washington,DC,vdp@hud.gov
ADA.GOV,Federal - Executive,Department of Justice,Civil Rights Division,Washington,DC,Responsible_Disclosure@usdoj.gov
AMBERALERT.GOV,Federal - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,DC,Responsible_Disclosure@usdoj.gov
ATF.GOV,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Washington,DC,Responsible_Disclosure@usdoj.gov
ATFONLINE.GOV,Federal - Executive,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",Washington,DC,Responsible_Disclosure@usdoj.gov
BATS.GOV,Federal - Executive,Department of Justice,U.S. Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov
BIOMETRICCOE.GOV,Federal - Executive,Department of Justice,FBI CJIS,Clarksburg,WV,Responsible_Disclosure@usdoj.gov
BJA.GOV,Federal - Executive,Department of Justice,Office of Justice Programs,Washington ,DC,Responsible_Disclosure@usdoj.gov
BJS.GOV,Federal - Executive,Department of Justice,Office of Justice Programs,Washington,DC,Responsible_Disclosure@usdoj.gov
BOP.GOV,Federal - Executive,Department of Justice,Federal Bureau of Prisons,Washington,DC,Responsible_Disclosure@usdoj.gov
CAMPUSDRUGPREVENTION.GOV,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov
CJIS.GOV,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov
CRIMESOLUTIONS.GOV,Federal - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Progrms (OJP)",Washinton ,DC,Responsible_Disclosure@usdoj.gov
CRIMEVICTIMS.GOV,Federal - Executive,Department of Justice,"U.S. Department of Justice, Office of Justice Programs",Washington,DC,Responsible_Disclosure@usdoj.gov
CYBERCRIME.GOV,Federal - Executive,Department of Justice,Criminal Division,Washington,DC,Responsible_Disclosure@usdoj.gov
DEA.GOV,Federal - Executive,Department of Justice,Drug Enforcement Administration,Springfield,VA,Responsible_Disclosure@usdoj.gov
DEAECOM.GOV,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,Responsible_Disclosure@usdoj.gov
DOJ.GOV,Federal - Executive,Department of Justice,U.S. Department of Justice,Washington,DC,Responsible_Disclosure@usdoj.gov
DSAC.GOV,Federal - Executive,Department of Justice,"U.S. Department of Justice, BI, Domestic Security Alliance Council (DSAC)",Potomac,MD,Responsible_Disclosure@usdoj.gov
ELDERJUSTICE.GOV,Federal - Executive,Department of Justice,"Department of Justice, Civil Division",Washington,DC,Responsible_Disclosure@usdoj.gov
EPIC.GOV,Federal - Executive,Department of Justice,Drug Enforcement Administration,Washington,DC,Responsible_Disclosure@usdoj.gov
FARA.GOV,Federal - Executive,Department of Justice,"U.S. Department of Justice, National Security Division",Washington,DC,Responsible_Disclosure@usdoj.gov
FBI.GOV,Federal - Executive,Department of Justice,FBI,Washington,DC,Responsible_Disclosure@usdoj.gov
FBIHR.GOV,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov
FBIJOBS.GOV,Federal - Executive,Department of Justice,Federal Bureau of Investigation,Washington,DC,Responsible_Disclosure@usdoj.gov
FIRSTFREEDOM.GOV,Federal - Executive,Department of Justice,U.S. Department of Justice,Potomac,MD,Responsible_Disclosure@usdoj.gov
FOIA.GOV,Federal - Executive,Department of Justice,"Department of Justice, Office of e-Government",Washington,DC,Responsible_Disclosure@usdoj.gov
FORFEITURE.GOV,Federal - Executive,Department of Justice,"Criminal Division, Asset Forfeiture and Money Laundering Section (AFMLS)",Potomac,MD,Responsible_Disclosure@usdoj.gov
FPI.GOV,Federal - Executive,Department of Justice,Federal Prison Industries,Washington,DC,Responsible_Disclosure@usdoj.gov
